family,n,instance,seed,m,ar_uniform,ar_balanced,ceil_p1,ar_samp_p1,ar_exact_p1,ceil_p3,ar_samp_p3,ar_exact_p3,sum_leakage_p3,overlap_p3,distance_p3
WS(k=4;b=0.1),18,1,20312412,36,0.6428571428571429,0.680672268907563,0.8002715808844012,0.7696716572116163,NaN,0.8697507042120254,0.7937399630560922,NaN,0.27920458731834397,0.950858753893566,0.265788635429721
WS(k=4;b=0.1),18,2,20312413,36,0.6206896551724138,0.6572008113590264,0.7803567715107974,0.7562835255467814,NaN,0.863481250022558,0.7890586648399384,NaN,0.4546682245608936,0.873092209961597,0.4248510257621645
WS(k=4;b=0.1),18,3,20312414,36,0.6666666666666666,0.7058823529411765,0.8343572056303286,0.8053671938774217,NaN,0.9112546689740605,0.8639936223023494,NaN,0.6071711921494665,0.80845789493166,0.5016942633552759
WS(k=4;b=0.1),18,4,20312415,36,0.6428571428571429,0.680672268907563,0.8080568970672094,0.7831681438160487,NaN,0.8946967977721635,0.8252504154454944,NaN,0.4867217113359673,0.8689388993476639,0.42101130855867425
WS(k=4;b=0.1),18,5,20312416,36,0.6666666666666666,0.7058823529411765,0.8305199244287222,0.8166967063501758,NaN,0.9067389900421011,0.8457653257233944,NaN,0.7129331792082049,0.7108627186911366,0.631304643101674
WS(k=4;b=0.1),18,6,20312417,36,0.6666666666666666,0.7058823529411765,0.8296943474731279,0.8030437200405954,NaN,0.9067985947300129,0.858211614130999,NaN,0.6065543852952178,0.808196445964546,0.5022739388274572
WS(k=4;b=0.1),18,7,20312418,36,0.6428571428571429,0.680672268907563,0.8049921629446736,0.7639680932941655,NaN,0.8812995497234459,0.8033841267974461,NaN,0.3002351940243624,0.949173349657918,0.2626350416430056
WS(k=4;b=0.1),18,8,20312419,36,0.6666666666666666,0.7058823529411765,0.8305199244287222,0.7752682111667595,NaN,0.9033050430273053,0.8198173351086505,NaN,0.2695294370375907,0.9708954531252956,0.17640977871389094
WS(k=4;b=0.1),18,9,20312420,36,0.6428571428571429,0.680672268907563,0.7954047699702291,0.7418062420700731,NaN,0.8686737044248698,0.7623673186710003,NaN,0.15861929106276587,0.983417874014087,0.15502381215181643
WS(k=4;b=0.1),18,10,20312421,36,0.6206896551724138,0.6572008113590264,0.7930027042064463,0.7221779287134236,NaN,0.8787155587139502,0.8125938360287311,NaN,0.5752380916150812,0.9054821619981704,0.25856868871517263
WS(k=4;b=0.1),18,11,20312422,36,0.6666666666666666,0.7058823529411765,0.8328288196387303,0.818001118106291,NaN,0.9093222418829685,0.8475251810475899,NaN,0.5897981274000358,0.7905447826502802,0.5426227117685717
WS(k=4;b=0.1),18,12,20312423,36,0.6666666666666666,0.7058823529411765,0.830180257690957,0.798208364056176,NaN,0.9053846567867105,0.8287911807923529,NaN,0.29826982159344373,0.9495473972027186,0.26180027784826115
WS(k=4;b=0.1),18,13,20312424,36,0.6923076923076923,0.7330316742081447,0.8594605390731928,0.8149678889645854,NaN,0.930819460794414,0.852367227619472,NaN,0.2766605982055531,0.9531347759769199,0.2560160232290949
WS(k=4;b=0.1),18,14,20312425,36,0.6428571428571429,0.680672268907563,0.8098094250706881,0.7923058315922508,NaN,0.901733298071698,0.8421141806624782,NaN,0.6386939997073364,0.7928198907876531,0.5199307265808291
WS(k=4;b=0.1),18,15,20312426,36,0.6428571428571429,0.680672268907563,0.8052619234380182,0.7577291345120584,NaN,0.8863956526689183,0.8001545289742241,NaN,0.3550520592482196,0.967316346335403,0.1462953232013497
WS(k=4;b=0.1),18,16,20312427,36,0.6666666666666666,0.7058823529411765,0.8305199244287222,0.7591877405189115,NaN,0.9103965375344953,0.8200828417203628,NaN,0.5806579727048526,0.8983745044464304,0.278142905370891
WS(k=4;b=0.1),18,17,20312428,36,0.6666666666666666,0.7058823529411765,0.8322476385860857,0.7990199556124956,NaN,0.9101575868240858,0.8490357331272973,NaN,0.4736823995177939,0.8747273453642416,0.41202152216746196
WS(k=4;b=0.1),18,18,20312429,36,0.6666666666666666,0.7058823529411765,0.830140817590402,0.8085248097326564,NaN,0.8986616991130822,0.8390344470339731,NaN,0.4252671436974516,0.887972939951893,0.39971297812074474
WS(k=4;b=0.1),18,19,20312430,36,0.6666666666666666,0.7058823529411765,0.8251101270368703,0.8060275598652306,NaN,0.8988942052340666,0.8433259044759525,NaN,0.4410452726766507,0.8962161662279557,0.36975610297333916
WS(k=4;b=0.1),18,20,20312431,36,0.6428571428571429,0.680672268907563,0.8032361258088431,0.7582602013280979,NaN,0.8928893884744072,0.7850932596673209,NaN,0.3811876214241047,0.9086240752265566,0.36017073359408175
